student_identifier,question_id (jangan diubah),question_content (referensi),answer (diisi oleh guru),"is_correct (opsional, untuk esai)"
,b617fb1f-359b-4c19-8980-e0c69ad901d8,Berapakah nilai dari 8 * (2 + 3)?,,
,f79c7ff1-d2a0-4b55-a229-efe06c6c3593,"Jika x + 5 = 12, berapakah nilai x?",,
,c8871ac8-4c75-45b9-98bd-080c3ae3e68b,Jelaskan perbedaan antara persegi dan persegi panjang.,,
,67b184a6-990d-4667-a633-18561a7608f2,Berapa jumlah sudut dalam sebuah segitiga?,,
,df0ccdc9-93d5-4604-be2b-6cb976ea3303,Berapakah hasil dari 1/2 + 1/4?,,
,e1e7c164-e612-436c-9544-2953cb4bafcd,Manakah pecahan yang nilainya paling besar?,,
,dd78e3d3-5ae3-4127-825c-cc8143315c20,"Berapa rata-rata dari angka 5, 10, dan 15?",,
,8b924136-ff69-443e-b945-745ba6eef8a0,Apa yang dimaksud dengan median dalam statistika?,,
,87fb6974-5141-4dc6-badd-d521126834c0,Apa bentuk sederhana dari (x^2 - 4) / (x - 2)?,,
,4cdc7ce1-cea7-4364-b894-b01ac222c514,"Jika keliling sebuah persegi adalah 20 cm, berapa luasnya?",,
,be7b555e-e7e7-49fe-b617-b752b47643a3,Berapakah nilai dari sin(90)?,,
,ce1a6804-8fba-4720-a3a9-f2d853134dad,"Dalam segitiga siku-siku, sisi di seberang sudut 90 derajat disebut...",,
,254e4639-9f6d-4113-8e3b-9f242a7b9bd5,Berapa peluang munculnya angka genap saat melempar satu dadu?,,
,c331714e-8384-4be5-9da8-257b0bba2cbc,Jelaskan perbedaan antara permutasi dan kombinasi.,,
,49846bae-973b-4f49-9c0b-34a48a2871ad,"Jika semua A adalah B, dan semua B adalah C, maka...",,
,0d9bdaac-764c-4423-a89a-e4cd13767943,Apa bilangan prima setelah 13?,,
,74a95530-e43e-499a-96cc-1f24305a4872,Akar-akar dari persamaan kuadrat x^2 - 5x + 6 = 0 adalah...,,
,86f71b2f-36ff-4bf5-ace1-93f3c3267abc,"Jika f(x) = 2x + 1 dan g(x) = x - 3, berapakah nilai dari (f o g)(5)?",,
,11b62584-f77c-4484-bd42-ec3de44f4702,Jelaskan sifat-sifat dasar logaritma.,,
,f10e5f42-5fca-4615-8f0e-95a113e813e6,"Suku ke-10 dari barisan aritmetika 3, 7, 11, 15, ... adalah...",,
,b2bfc40b-5635-43a4-80b1-0c07b15b3a0a,"Berapakah jumlah 5 suku pertama dari deret geometri 2, 6, 18, ...?",,
,1b81de65-0182-4b54-a2d0-815acf5c653e,Tentukan turunan pertama dari fungsi f(x) = 3x^4 + 2x^2 - 5.,,
,5cb912d4-354c-4513-aabc-3135f89e3a20,Nilai dari limit x mendekati 2 untuk fungsi (x^2 - 4) / (x - 2) adalah...,,
,f0a81554-a68b-453f-bb27-7fc5c4ed8564,Jelaskan konsep dasar Teorema Fundamental Kalkulus.,,
,179e281d-583f-4edb-ba32-ed1fa49657cf,Tentukan hasil dari integral tak tentu ∫(6x^2) dx.,,
,999f7c55-f1b9-4592-a8be-12f388597a13,Garis singgung pada kurva y = x^2 di titik x = 3 memiliki gradien...,,
,33343327-bd51-4dcc-af7b-8a41d4dd8e3b,Tentukan nilai integral tentu dari ∫(2x) dx dari x=1 sampai x=3.,,
,53768cab-d814-4b23-a784-a30e8d0d3ce6,Apa aplikasi turunan dalam menentukan nilai maksimum dan minimum suatu fungsi?,,
,27495599-bc60-41a3-aa79-9c4cabc3db81,Turunan dari fungsi f(x) = sin(x) adalah...,,
,f64e58bc-2ed0-4ee0-be69-331565e85f39,"Berapa jarak antara titik A(1, 2) dan B(4, 6)?",,
,a8932567-61d9-4770-a93a-4e3ccb1a95ff,"Manakah persamaan lingkaran dengan pusat (0,0) dan jari-jari 5?",,
,c2dcb535-b494-46b2-9b71-1e57181b274b,Jelaskan apa yang dimaksud dengan gradien dan bagaimana cara menghitungnya dari dua titik.,,
,83fde40f-26bc-4209-96bb-cf867fd12b23,"Tentukan persamaan garis yang melalui titik (2,3) dengan gradien 4.",,
,4c7911e7-f503-46de-9853-8759b7f6dd41,Titik potong grafik y = 2x + 6 dengan sumbu Y adalah...,,
,5c3457d2-897e-4238-9500-c59e613e7c62,Apa itu matriks identitas dan apa perannya dalam perkalian matriks?,,
,346eaffe-8828-4cbe-8625-b71985349ddd,"Tentukan determinan dari matriks 2x2: [[4, 2], [3, 5]].",,
,6a897af4-4da0-4922-a873-4f85df8b81e0,"Ordo dari matriks [[1, 2, 3], [4, 5, 6]] adalah...",,
,cb1ebad9-9efb-4d7d-a419-32e4f59fd4c6,"Apa hasil dari perkalian matriks [[1, 2]] dengan [[3], [4]]?",,
,1b0ce9d2-a986-4f15-ada8-fdd71e525ed4,Jelaskan kapan dua matriks dapat dikalikan.,,
,809d3b94-fa88-49b1-9184-3a3fe0f9d22a,"Dari data 2, 2, 4, 5, 7, berapakah modusnya?",,
,a479dbfd-f308-4eeb-86be-b9b43570de04,Simbol 'Σ' (sigma) dalam statistika berarti...,,
,dbb4d5fc-6e6f-4e7f-80fe-e77ef4c8730f,Jelaskan perbedaan antara populasi dan sampel dalam penelitian statistika.,,
,f7b2008d-6b5d-4616-bb45-c19151f1f965,"Tentukan jangkauan (range) dari data: 12, 15, 9, 21, 11.",,
,96883a1a-5bae-4ccf-b850-09488b8978f2,Manakah dari berikut ini yang bukan merupakan bilangan irasional?,,
,54aba888-1cdf-46a3-bce8-562a6cc0c341,Tentukan Faktor Persekutuan Terbesar (FPB) dari 18 dan 24.,,
,fbcfd575-7df7-4bc5-a92e-b72a188e9a75,Buktikan bahwa akar kuadrat dari 2 adalah bilangan irasional.,,
,65d2ded5-6e49-4b88-aca7-56741ad6fa30,Konversikan bilangan biner 1101 ke dalam bentuk desimal.,,
